feature_1,feature_2,feature_3,feature_4,feature_5
0.1505,-1.0886,-0.3706,-0.0863,-3.9633
0.0101,-4.382,-0.0026,0.035,-2.1228
-0.1482,-1.0886,-0.0026,0.0229,0.1292
-0.0493,0.3508,-0.0026,0.0229,0.1292
-0.0493,-1.0886,-0.4702,0.1323,-2.1228
-0.0493,-4.382,1.0082,0.1323,-3.9633
0.0101,-4.382,-0.0739,0.035,-3.9633
-0.1482,-1.0886,-0.3706,0.1323,-3.9633
-0.1482,-1.0886,-0.4702,0.035,-2.1228
0.0341,-1.0886,-0.4702,-0.0863,-2.1228
-0.1482,1.8236,-0.3706,0.1323,2.6346
0.1505,-1.0886,-0.3706,-0.1078,-3.9633
-0.0493,0.3508,1.0082,-0.0863,-2.1228
0.0101,0.3508,-0.3706,0.035,-2.1228
0.1505,-1.0886,-0.4702,-0.1078,-2.1228
-0.0493,-1.0886,-0.4702,-0.0863,-2.1228
-0.1482,1.8236,1.0082,-0.0863,2.0462
0.1505,-4.382,-0.0739,-0.1078,-3.9633
-0.0493,1.3118,-0.0026,0.1323,2.0462
-0.0493,-4.382,-0.0739,0.035,-3.9633
0.0101,1.3118,-0.3706,0.035,-2.1228
-0.0493,1.8236,-0.4702,-0.1078,2.6346
-0.1482,1.3118,-0.0026,-0.1078,2.0462
0.0341,1.8236,1.0082,0.035,2.0462
0.0101,0.3508,-0.3706,-0.1078,-2.1228
-0.1482,1.3118,1.0082,0.1323,0.1292
-0.0493,0.3508,-0.0739,0.035,2.0462
0.0341,1.8236,-0.3706,-0.1078,2.6346
0.0101,1.3118,-0.0026,-0.1078,2.6346
-0.0493,-4.382,-0.0026,0.0229,-2.1228
-0.1482,1.3118,1.0082,0.035,2.0462
0.1505,-4.382,-0.0026,0.035,-2.1228
0.0341,0.3508,-0.0739,0.0229,2.0462
-0.1482,0.3508,-0.4702,0.1323,0.1292
-0.1482,0.3508,-0.0739,0.1323,2.0462
0.0341,1.3118,1.0082,0.1323,2.0462
0.0341,1.3118,-0.4702,0.035,0.1292
0.0341,1.8236,-0.3706,0.0229,2.6346
0.0341,1.3118,-0.0026,0.1323,2.0462
0.1505,0.3508,-0.0026,0.035,0.1292
0.0101,-4.382,-0.0026,0.035,-2.1228
0.1505,-1.0886,-0.3706,-0.0863,-3.9633
0.1505,1.3118,-0.3706,-0.1078,0.1292
0.1505,0.3508,-0.0739,0.1323,2.0462
0.1505,1.3118,-0.4702,-0.0863,2.6346
-0.1482,0.3508,-0.4702,0.035,0.1292
-0.0493,-4.382,-0.0739,-0.1078,-3.9633
-0.0493,1.8236,-0.3706,-0.0863,2.6346
